Departure station,Departure,Return station,Return,Duration (sec.),Covered distance (m),departure_latitude,departure_longitude,return_latitude,return_longitude
Pérols,2023-12-15 15:32:38,Pérols,2023-12-15 17:41:01,7700,12354.0,43.557928,3.963561,43.557928,3.963561
Louis Blanc,2023-12-15 15:28:05,Voltaire,2023-12-15 15:38:05,597,2252.0,43.6146919,3.8782052427712976,43.6037049,3.8892253
Antigone Centre,2023-12-15 15:24:48,Nombre d'Or,2023-12-15 17:26:39,7307,14261.0,43.6079184,3.8905276,43.6079002,3.8866534
Antigone Centre,2023-12-15 15:24:13,Nombre d'Or,2023-12-15 17:26:35,7338,14324.0,43.6079184,3.8905276,43.6079002,3.8866534
Rue Jules Ferry,2023-12-15 15:24:00,Médiathèque Emile Zola,2023-12-15 15:30:24,380,1178.0,43.60538357410034,3.881074193325897,43.6082468,3.8930561
Nouveau Saint-Roch,2023-12-15 15:23:56,Près d'Arènes,2023-12-15 15:30:52,410,1378.0,43.5992903,3.8756446,43.5936317,3.8877518
Nouveau Saint-Roch,2023-12-15 15:21:37,Près d'Arènes,2023-12-15 15:30:14,512,1364.0,43.5992903,3.8756446,43.5936317,3.8877518
Corum,2023-12-15 15:21:07,Place Viala,2023-12-15 15:41:50,1239,2687.0,43.614366,3.882027979797976,43.6168167,3.8550842
Corum,2023-12-15 15:20:14,Charles Flahault,2023-12-15 15:34:10,832,1429.0,43.614366,3.882027979797976,43.6184031,3.8663896
Richter,2023-12-15 15:17:15,Nombre d'Or,2023-12-15 15:25:16,477,1290.0,43.6037969,3.8989223,43.6079002,3.8866534
Nombre d'Or,2023-12-15 15:11:41,Antigone Centre,2023-12-15 18:48:26,13001,10271.0,43.6079002,3.8866534,43.6079184,3.8905276
Nombre d'Or,2023-12-15 15:11:26,Antigone Centre,2023-12-15 18:48:21,13011,10156.0,43.6079002,3.8866534,43.6079184,3.8905276
